name,monthly_income,monthly_card_spending,current_card,card_benefit_usage_rate,residence,age_group,occupation,age,gender,expense_ratio_food,expense_ratio_transport,expense_ratio_shopping,expense_ratio_subscription,expense_ratio_others
37,1447001,1519000,우리 Young카드,52.0,경기 고양시,30,디자이너,32,남,7.0,12.0,42.0,33.0,6.0
38,4693144,1727000,삼성 taptap카드,73.0,울산 남구,30,디자이너,32,남,19.0,1.0,61.0,16.0,3.0
39,2997729,2155000,신한 Deep카드,82.0,경기 성남시,20,데이터분석가,29,여,4.0,43.0,47.0,5.0,1.0
40,2107687,1526000,하나 Simple카드,71.0,서울 관악구,20,회계,27,남,1.0,3.0,54.0,0.0,42.0
41,1263955,514000,하나 Simple카드,63.0,서울 관악구,20,간호사,26,남,19.0,5.0,25.0,0.0,51.0
42,3201619,681000,이마트 KB카드,42.0,서울 성동구,30,데이터분석가,34,남,21.0,2.0,52.0,16.0,9.0
43,1989252,1369000,카카오뱅크 체크,62.0,인천 남동구,30,디자이너,31,남,2.0,5.0,49.0,38.0,6.0
44,2472426,833000,이마트 KB카드,83.0,서울 강동구,20,대학생,24,여,27.0,12.0,10.0,24.0,27.0
45,2455782,1664000,NH 농협카드,79.0,경기 수원시,20,회계,23,남,35.0,61.0,0.0,3.0,1.0
46,2029298,1135000,하나 Simple카드,58.0,광주 서구,30,프리랜서,37,여,14.0,28.0,13.0,27.0,18.0
47,2810483,912000,하나 Simple카드,77.0,대전 유성구,20,연구원,22,남,1.0,12.0,37.0,10.0,40.0
48,2902787,1375000,롯데 DC카드,48.0,울산 남구,30,대학생,36,여,16.0,21.0,45.0,7.0,11.0
49,2987911,1425000,삼성 taptap카드,84.0,대구 수성구,30,공무원,35,여,42.0,19.0,2.0,13.0,24.0
50,3006200,944000,이마트 KB카드,48.0,경기 수원시,30,기획,30,남,38.0,21.0,6.0,10.0,25.0
51,1542237,1573000,롯데 DC카드,80.0,인천 남동구,20,디자이너,26,여,20.0,2.0,4.0,63.0,11.0
52,2738936,570000,씨티 Premier카드,51.0,세종,20,연구원,29,여,6.0,3.0,16.0,0.0,75.0
53,2114814,838000,롯데 DC카드,85.0,서울 동작구,20,디자이너,21,여,31.0,21.0,29.0,9.0,10.0
54,1555109,1444000,NH 농협카드,68.0,인천 남동구,20,회계,24,여,24.0,3.0,15.0,2.0,56.0
55,2926019,1077000,토스카드,73.0,부산 해운대구,20,연구원,25,여,9.0,41.0,23.0,25.0,2.0
56,3299703,1705000,토스카드,53.0,대구 수성구,20,서비스직,25,여,17.0,25.0,16.0,29.0,13.0
57,2229375,1223000,SSG 랜더스카드,73.0,서울 강남구,20,회계,29,남,9.0,10.0,51.0,6.0,24.0
58,3329560,1792000,현대 ZERO카드,80.0,서울 관악구,20,데이터분석가,23,남,9.0,19.0,1.0,51.0,20.0
59,2295657,703000,삼성 taptap카드,58.0,서울 강동구,20,영업,22,남,10.0,8.0,10.0,69.0,3.0
60,2059772,2082000,롯데 DC카드,50.0,서울 용산구,20,마케팅,28,남,35.0,8.0,8.0,42.0,7.0
61,2558679,505000,네이버페이 현대,59.0,서울 마포구,30,마케팅,33,남,34.0,1.0,26.0,25.0,14.0
62,3068541,1214000,NH 농협카드,69.0,서울 동작구,20,서비스직,25,남,16.0,56.0,15.0,4.0,9.0
63,1859928,984000,IBK 두드림카드,60.0,서울 송파구,20,영업,28,여,4.0,1.0,29.0,52.0,14.0
64,3514688,1023000,SSG 랜더스카드,76.0,서울 관악구,30,영업,31,남,21.0,8.0,2.0,26.0,43.0
65,1970418,1479000,KB 혜담카드,62.0,대전 유성구,20,생산직,23,남,62.0,11.0,10.0,12.0,5.0
66,2019846,1035000,현대 ZERO카드,84.0,경기 고양시,20,대학생,22,여,24.0,17.0,16.0,16.0,27.0
67,2765124,1199000,신한 Deep카드,70.0,서울 마포구,20,영업,26,남,0.0,31.0,15.0,47.0,7.0
68,2059981,1977000,SSG 랜더스카드,78.0,울산 남구,20,데이터분석가,29,여,54.0,12.0,13.0,8.0,13.0
69,2047602,1979000,NH 농협카드,70.0,광주 서구,20,컨설턴트,27,남,13.0,6.0,10.0,38.0,33.0
70,2816402,1068000,토스카드,60.0,부산 해운대구,20,회계,24,여,12.0,46.0,9.0,22.0,11.0
71,3298698,1343000,네이버페이 현대,48.0,서울 강동구,30,데이터분석가,31,여,41.0,6.0,39.0,5.0,9.0
72,3451282,1691000,네이버페이 현대,67.0,세종,30,간호사,34,남,8.0,14.0,37.0,15.0,26.0
73,1922615,1138000,우리 Young카드,62.0,서울 동작구,20,대학생,29,남,21.0,7.0,14.0,10.0,48.0
74,1994695,1430000,카카오뱅크 체크,75.0,서울 서초구,20,프리랜서,24,여,8.0,3.0,83.0,4.0,2.0
75,2539957,1740000,토스카드,65.0,서울 성동구,30,간호사,33,여,25.0,21.0,6.0,2.0,46.0
76,2410465,1193000,씨티 Premier카드,76.0,서울 송파구,20,생산직,26,여,1.0,15.0,56.0,28.0,0.0
77,1756067,617000,씨티 Premier카드,59.0,경기 고양시,20,프리랜서,23,여,21.0,0.0,3.0,17.0,59.0
78,2611518,1368000,네이버페이 현대,48.0,서울 동작구,20,간호사,24,남,19.0,11.0,39.0,26.0,5.0
79,2292756,1006000,신한 Deep카드,47.0,서울 노원구,20,컨설턴트,28,남,52.0,13.0,18.0,4.0,13.0
80,1799004,1310000,하나 Simple카드,73.0,서울 동작구,30,컨설턴트,32,남,13.0,46.0,15.0,21.0,5.0
81,1785536,1538000,네이버페이 현대,50.0,인천 남동구,20,생산직,28,여,15.0,22.0,9.0,46.0,8.0
82,1997935,810000,SSG 랜더스카드,42.0,대구 수성구,20,영업,28,여,21.0,70.0,1.0,1.0,7.0
83,2948999,1346000,하나 Simple카드,79.0,인천 남동구,30,생산직,32,남,17.0,9.0,0.0,42.0,32.0
84,3194639,797000,삼성 taptap카드,71.0,울산 남구,20,회계,28,남,30.0,63.0,3.0,2.0,2.0
85,3166719,1771000,신한 Deep카드,43.0,세종,30,연구원,36,남,4.0,12.0,62.0,7.0,15.0
86,1829614,1202000,씨티 Premier카드,47.0,서울 강남구,20,프리랜서,26,남,43.0,41.0,9.0,4.0,3.0
87,2610315,932000,롯데 DC카드,50.0,대구 수성구,30,데이터분석가,31,여,3.0,55.0,14.0,20.0,8.0
88,2073956,2081000,토스카드,52.0,서울 관악구,20,생산직,27,여,9.0,7.0,24.0,22.0,38.0
89,2662379,1773000,SSG 랜더스카드,61.0,대구 수성구,30,영업,33,여,27.0,3.0,40.0,16.0,14.0
90,2540283,1233000,토스카드,70.0,대구 수성구,20,데이터분석가,25,남,12.0,1.0,33.0,32.0,22.0
91,3846461,575000,네이버페이 현대,85.0,울산 남구,30,영업,39,남,17.0,46.0,31.0,0.0,6.0
92,2237856,1624000,네이버페이 현대,45.0,서울 노원구,20,회계,28,여,16.0,36.0,10.0,12.0,26.0
93,3319480,954000,IBK 두드림카드,64.0,대구 수성구,30,기획,33,여,1.0,23.0,6.0,53.0,17.0
94,2954011,846000,SSG 랜더스카드,55.0,대구 수성구,30,기획,34,여,10.0,44.0,4.0,12.0,30.0
95,1896280,994000,하나 Simple카드,44.0,서울 송파구,20,데이터분석가,28,여,60.0,15.0,9.0,6.0,10.0
96,4546898,1140000,우리 Young카드,65.0,경기 성남시,30,공무원,34,남,10.0,23.0,11.0,42.0,14.0
97,2663497,1298000,우리 Young카드,49.0,경기 고양시,30,데이터분석가,30,여,55.0,11.0,5.0,25.0,4.0
98,1832437,865000,씨티 Premier카드,85.0,세종,20,공무원,27,남,2.0,31.0,51.0,14.0,2.0
99,3076456,1473000,카카오뱅크 체크,70.0,서울 성동구,20,기획,22,남,6.0,44.0,32.0,16.0,2.0
100,3288888,1854000,현대 ZERO카드,68.0,경기 고양시,20,연구원,27,남,11.0,15.0,26.0,12.0,36.0
101,2233487,1000000,신한 Deep카드,79.0,서울 강남구,20,영업,21,남,6.0,12.0,24.0,5.0,53.0
102,2248174,1369000,이마트 KB카드,55.0,서울 관악구,30,공무원,30,여,33.0,8.0,14.0,4.0,41.0
103,2879337,1236000,카카오뱅크 체크,57.0,부산 해운대구,30,간호사,36,남,13.0,52.0,11.0,12.0,12.0
104,2607365,1628000,NH 농협카드,59.0,경기 고양시,20,프리랜서,24,여,4.0,1.0,30.0,5.0,60.0
105,3138928,2105000,NH 농협카드,43.0,인천 남동구,30,생산직,39,여,22.0,11.0,27.0,12.0,28.0
106,2535243,1211000,우리 Young카드,48.0,부산 해운대구,20,서비스직,26,남,2.0,33.0,38.0,19.0,8.0
107,2300861,1756000,삼성 taptap카드,71.0,서울 관악구,20,공무원,21,남,6.0,21.0,6.0,2.0,65.0
108,3249005,1110000,하나 Simple카드,81.0,서울 용산구,30,연구원,31,여,15.0,34.0,18.0,29.0,4.0
109,2781014,1245000,네이버페이 현대,69.0,경기 고양시,30,서비스직,30,남,2.0,30.0,26.0,16.0,26.0
110,3721643,1743000,우리 Young카드,71.0,부산 해운대구,30,서비스직,39,남,8.0,38.0,17.0,25.0,12.0
111,2798356,1647000,씨티 Premier카드,72.0,서울 성동구,30,대학생,36,남,29.0,3.0,59.0,1.0,8.0
112,3301716,901000,토스카드,67.0,세종,30,공무원,39,남,12.0,19.0,32.0,8.0,29.0
113,2193218,1267000,카카오뱅크 체크,48.0,대전 유성구,20,데이터분석가,21,여,26.0,5.0,9.0,32.0,28.0
114,2222073,1116000,토스카드,62.0,서울 마포구,20,마케팅,26,여,74.0,5.0,12.0,1.0,8.0
115,2311306,1555000,NH 농협카드,82.0,서울 강동구,30,프리랜서,33,여,32.0,0.0,39.0,13.0,16.0
116,2922427,715000,네이버페이 현대,64.0,서울 마포구,20,마케팅,24,여,12.0,58.0,6.0,14.0,10.0
117,1883536,843000,SSG 랜더스카드,58.0,서울 강동구,20,공무원,29,여,10.0,7.0,5.0,5.0,73.0
118,2481837,1950000,카카오뱅크 체크,68.0,서울 성동구,30,데이터분석가,34,남,1.0,48.0,27.0,20.0,4.0
119,3560496,831000,씨티 Premier카드,61.0,서울 송파구,30,연구원,36,여,10.0,22.0,18.0,46.0,4.0
120,2738923,1424000,SSG 랜더스카드,62.0,서울 마포구,20,마케팅,28,여,23.0,11.0,20.0,34.0,12.0
121,1057443,780000,카카오뱅크 체크,52.0,경기 고양시,20,생산직,26,여,13.0,28.0,20.0,6.0,33.0
122,1967370,1516000,현대 ZERO카드,53.0,인천 남동구,20,데이터분석가,26,여,26.0,26.0,13.0,25.0,10.0
123,1344005,655000,IBK 두드림카드,62.0,서울 노원구,20,대학생,27,남,30.0,0.0,54.0,4.0,12.0
124,2334516,1712000,신한 Deep카드,65.0,경기 고양시,30,데이터분석가,33,남,12.0,14.0,8.0,50.0,16.0
125,1000000,1297000,카카오뱅크 체크,59.0,서울 동작구,20,대학생,28,남,21.0,16.0,18.0,34.0,11.0
126,2181505,1455000,NH 농협카드,40.0,서울 강동구,20,서비스직,27,남,9.0,2.0,20.0,7.0,62.0
127,1679029,1321000,토스카드,62.0,인천 남동구,20,컨설턴트,25,여,46.0,19.0,18.0,10.0,7.0
128,2529952,1415000,카카오뱅크 체크,61.0,울산 남구,30,영업,37,여,4.0,3.0,15.0,18.0,60.0
129,1437439,1380000,현대 ZERO카드,83.0,서울 관악구,20,간호사,25,남,5.0,61.0,9.0,23.0,2.0
130,2541455,1606000,NH 농협카드,78.0,광주 서구,30,기획,32,여,5.0,42.0,21.0,32.0,0.0
131,2042541,2030000,삼성 taptap카드,62.0,세종,20,데이터분석가,27,남,7.0,34.0,39.0,7.0,13.0
132,4051367,742000,하나 Simple카드,63.0,서울 마포구,30,디자이너,33,남,5.0,5.0,5.0,83.0,2.0
133,2955678,912000,하나 Simple카드,77.0,대전 유성구,20,연구원,22,남,1.0,12.0,37.0,10.0,40.0
134,2642672,1035000,현대 ZERO카드,84.0,경기 고양시,20,대학생,22,남,24.0,17.0,16.0,16.0,27.0
135,2336693,1600000,씨티 Premier카드,77.0,광주 서구,30,기획,32,여,7.0,44.0,7.0,7.0,35.0
136,4389766,1177000,하나 Simple카드,73.0,광주 서구,30,데이터분석가,36,남,7.0,21.0,3.0,27.0,42.0
137,1473482,1144000,씨티 Premier카드,82.0,부산 해운대구,20,마케팅,29,여,46.0,21.0,11.0,17.0,5.0
138,1798220,1229000,이마트 KB카드,66.0,서울 동작구,30,회계,34,여,11.0,13.0,32.0,44.0,0.0
139,2941351,1443000,이마트 KB카드,80.0,부산 해운대구,30,마케팅,30,남,14.0,4.0,23.0,41.0,18.0
140,3377019,2175000,이마트 KB카드,76.0,인천 남동구,20,프리랜서,23,여,40.0,21.0,4.0,30.0,5.0
141,2398830,814000,이마트 KB카드,45.0,서울 용산구,30,데이터분석가,34,여,4.0,11.0,11.0,59.0,15.0
142,2871728,1867000,신한 Deep카드,73.0,서울 마포구,30,대학생,30,남,49.0,6.0,4.0,19.0,22.0
143,1990662,1612000,NH 농협카드,80.0,서울 마포구,30,기획,39,남,11.0,12.0,69.0,5.0,3.0
144,2722964,1220000,신한 Deep카드,65.0,경기 고양시,20,생산직,21,남,24.0,22.0,6.0,43.0,5.0
145,3667223,1658000,신한 Deep카드,77.0,인천 남동구,30,마케팅,32,남,24.0,2.0,1.0,4.0,69.0
146,3552352,948000,KB 혜담카드,77.0,부산 해운대구,30,공무원,34,남,36.0,5.0,3.0,4.0,52.0
147,1935389,1739000,카카오뱅크 체크,65.0,서울 마포구,20,마케팅,24,여,9.0,18.0,47.0,12.0,14.0
148,2146646,2252000,현대 ZERO카드,69.0,대전 유성구,30,마케팅,35,여,47.0,9.0,10.0,12.0,22.0
149,1603438,971000,KB 혜담카드,85.0,서울 성동구,20,연구원,24,남,30.0,16.0,13.0,13.0,28.0
150,2291936,806000,KB 혜담카드,61.0,서울 송파구,20,간호사,28,남,7.0,51.0,13.0,23.0,6.0
151,1709796,1983000,씨티 Premier카드,45.0,경기 수원시,20,디자이너,29,여,47.0,7.0,26.0,15.0,5.0
152,2175808,1218000,신한 Deep카드,81.0,서울 성동구,30,생산직,31,남,3.0,60.0,3.0,0.0,34.0
153,2038154,2081000,토스카드,52.0,서울 관악구,20,생산직,27,남,9.0,7.0,24.0,22.0,38.0
154,2657590,1108000,KB 혜담카드,63.0,대전 유성구,30,연구원,32,남,8.0,8.0,58.0,11.0,15.0
155,1981010,1659000,씨티 Premier카드,66.0,서울 서초구,20,생산직,27,여,6.0,48.0,42.0,4.0,0.0
156,3326511,1519000,네이버페이 현대,68.0,경기 수원시,30,간호사,32,남,13.0,20.0,34.0,11.0,22.0
157,2289523,909000,토스카드,45.0,서울 동작구,20,개발자,25,여,5.0,2.0,71.0,19.0,3.0
158,2105921,1868000,네이버페이 현대,78.0,서울 관악구,20,개발자,26,여,10.0,3.0,2.0,10.0,75.0
159,3128109,776000,하나 Simple카드,83.0,서울 마포구,30,마케팅,34,남,8.0,0.0,37.0,16.0,39.0
160,1754236,993000,SSG 랜더스카드,71.0,서울 강남구,20,대학생,25,여,19.0,28.0,4.0,47.0,2.0
161,2302639,902000,SSG 랜더스카드,55.0,서울 관악구,20,개발자,29,남,11.0,15.0,8.0,66.0,0.0
162,2575301,2112000,현대 ZERO카드,72.0,부산 해운대구,30,생산직,30,여,11.0,46.0,21.0,11.0,11.0
163,1498476,2129000,씨티 Premier카드,61.0,경기 고양시,20,기획,24,여,36.0,24.0,3.0,25.0,12.0
164,2747846,838000,롯데 DC카드,85.0,서울 동작구,20,디자이너,21,여,31.0,21.0,29.0,9.0,10.0
165,2382996,661000,네이버페이 현대,74.0,서울 서초구,30,공무원,32,남,3.0,30.0,12.0,32.0,23.0
166,2295154,1625000,카카오뱅크 체크,50.0,서울 강동구,20,대학생,26,여,7.0,19.0,22.0,5.0,47.0
167,3815088,1383000,IBK 두드림카드,41.0,서울 성동구,30,컨설턴트,31,남,21.0,9.0,8.0,2.0,60.0
168,3647973,811000,삼성 taptap카드,76.0,대구 수성구,30,연구원,30,남,45.0,15.0,16.0,18.0,6.0
169,3024033,2324000,우리 Young카드,76.0,서울 서초구,30,회계,34,남,6.0,1.0,33.0,41.0,19.0
170,2318750,2310000,현대 ZERO카드,47.0,서울 노원구,30,디자이너,30,여,8.0,56.0,12.0,14.0,10.0
171,2723755,501000,이마트 KB카드,45.0,세종,20,기획,28,여,23.0,26.0,42.0,5.0,4.0
172,3472286,1884000,NH 농협카드,50.0,광주 서구,30,영업,31,남,15.0,12.0,8.0,3.0,62.0
173,1940817,2162000,우리 Young카드,55.0,인천 남동구,20,간호사,26,여,3.0,3.0,18.0,53.0,23.0
174,1852553,1882000,삼성 taptap카드,80.0,서울 서초구,20,서비스직,24,남,3.0,2.0,36.0,52.0,7.0
175,1463822,2077000,KB 혜담카드,69.0,서울 용산구,30,연구원,37,여,56.0,18.0,1.0,1.0,24.0
176,2327015,1158000,토스카드,69.0,경기 성남시,20,컨설턴트,24,남,7.0,21.0,6.0,3.0,63.0
177,2208651,2166000,네이버페이 현대,49.0,서울 동작구,20,컨설턴트,28,여,20.0,0.0,51.0,10.0,19.0
178,2818095,1232000,신한 Deep카드,50.0,세종,20,회계,22,남,22.0,20.0,1.0,5.0,52.0
179,2679527,1467000,토스카드,54.0,서울 마포구,30,영업,33,여,26.0,14.0,23.0,32.0,5.0
180,3933960,1195000,토스카드,55.0,울산 남구,30,영업,31,남,61.0,6.0,4.0,10.0,19.0
181,2511845,1178000,롯데 DC카드,50.0,대전 유성구,30,개발자,32,남,13.0,7.0,10.0,29.0,41.0
182,3796705,1890000,삼성 taptap카드,75.0,서울 성동구,30,마케팅,33,남,2.0,35.0,11.0,10.0,42.0
183,1985541,603000,IBK 두드림카드,81.0,서울 마포구,20,공무원,24,여,18.0,11.0,27.0,21.0,23.0
184,2638798,1708000,KB 혜담카드,43.0,서울 용산구,20,서비스직,26,여,57.0,9.0,16.0,16.0,2.0
185,1520620,975000,이마트 KB카드,50.0,인천 남동구,20,마케팅,28,남,3.0,71.0,0.0,21.0,5.0
186,2617567,1539000,SSG 랜더스카드,64.0,울산 남구,30,기획,30,여,47.0,7.0,3.0,18.0,25.0
187,1507656,1471000,IBK 두드림카드,68.0,서울 용산구,30,영업,33,여,5.0,29.0,6.0,21.0,39.0
188,2116431,2124000,SSG 랜더스카드,84.0,서울 송파구,20,서비스직,23,여,21.0,3.0,21.0,37.0,18.0
189,2720176,1078000,SSG 랜더스카드,85.0,세종,30,공무원,31,여,27.0,22.0,11.0,4.0,36.0
190,1989515,1912000,IBK 두드림카드,69.0,경기 고양시,20,공무원,24,남,51.0,9.0,1.0,34.0,5.0
191,2264693,550000,현대 ZERO카드,62.0,서울 용산구,30,개발자,31,남,8.0,13.0,28.0,15.0,36.0
192,2923059,1111000,씨티 Premier카드,74.0,서울 관악구,30,데이터분석가,35,여,3.0,41.0,11.0,30.0,15.0
193,2448268,1216000,네이버페이 현대,78.0,서울 성동구,30,디자이너,30,여,18.0,54.0,1.0,17.0,10.0
194,2005214,750000,네이버페이 현대,56.0,서울 노원구,20,마케팅,23,여,16.0,30.0,14.0,21.0,19.0
195,2270947,1271000,현대 ZERO카드,71.0,부산 해운대구,20,공무원,28,남,42.0,16.0,4.0,33.0,5.0
196,3568334,1642000,우리 Young카드,80.0,서울 성동구,20,프리랜서,27,남,8.0,1.0,65.0,14.0,12.0
197,3076751,1073000,신한 Deep카드,82.0,울산 남구,30,영업,39,여,33.0,40.0,8.0,13.0,6.0
198,3081286,821000,하나 Simple카드,58.0,대전 유성구,30,디자이너,35,여,44.0,1.0,31.0,16.0,8.0
199,2467773,1031000,KB 혜담카드,82.0,대구 수성구,20,영업,29,여,3.0,37.0,16.0,7.0,37.0
200,2583242,1096000,SSG 랜더스카드,73.0,서울 노원구,30,디자이너,38,여,4.0,51.0,15.0,3.0,27.0
201,1051958,1008000,KB 혜담카드,61.0,경기 성남시,20,기획,28,여,13.0,3.0,24.0,21.0,39.0
202,2524713,1533000,신한 Deep카드,55.0,대전 유성구,30,영업,39,남,15.0,1.0,20.0,32.0,32.0
203,2009712,781000,SSG 랜더스카드,56.0,경기 수원시,20,간호사,23,남,4.0,79.0,5.0,7.0,5.0
204,1312553,1473000,롯데 DC카드,62.0,서울 강남구,20,데이터분석가,24,여,15.0,2.0,24.0,45.0,14.0
205,1671292,1758000,삼성 taptap카드,57.0,울산 남구,20,생산직,27,여,17.0,2.0,14.0,30.0,37.0
206,1259581,1421000,NH 농협카드,81.0,대전 유성구,20,회계,22,남,9.0,9.0,40.0,32.0,10.0
207,2973173,952000,NH 농협카드,49.0,경기 성남시,30,연구원,39,남,25.0,46.0,7.0,1.0,21.0
208,2909382,938000,SSG 랜더스카드,74.0,경기 고양시,30,디자이너,31,여,4.0,36.0,9.0,6.0,45.0
209,3774742,988000,우리 Young카드,41.0,광주 서구,30,프리랜서,37,남,22.0,27.0,37.0,5.0,9.0
210,2457392,1192000,하나 Simple카드,79.0,서울 동작구,20,대학생,23,남,28.0,16.0,20.0,33.0,3.0
211,1768301,632000,롯데 DC카드,52.0,경기 고양시,20,프리랜서,28,여,8.0,20.0,36.0,32.0,4.0
212,1283967,1532000,하나 Simple카드,46.0,서울 노원구,20,영업,26,여,50.0,24.0,1.0,8.0,17.0
213,1371565,1971000,SSG 랜더스카드,53.0,서울 강남구,20,기획,23,여,23.0,4.0,20.0,12.0,41.0
214,1615508,1138000,우리 Young카드,62.0,서울 동작구,20,대학생,29,남,21.0,7.0,14.0,10.0,48.0
215,1805570,1304000,우리 Young카드,58.0,서울 성동구,20,회계,29,여,42.0,14.0,15.0,22.0,7.0
216,2170125,1775000,IBK 두드림카드,60.0,서울 강남구,20,서비스직,28,남,11.0,56.0,22.0,2.0,9.0
217,2290085,1326000,현대 ZERO카드,56.0,대구 수성구,30,연구원,36,남,22.0,22.0,25.0,21.0,10.0
218,2419487,1701000,NH 농협카드,56.0,서울 마포구,20,컨설턴트,28,여,15.0,35.0,8.0,6.0,36.0
219,2133863,1373000,롯데 DC카드,78.0,서울 성동구,20,서비스직,23,여,11.0,3.0,5.0,20.0,61.0
220,2255272,1310000,IBK 두드림카드,62.0,서울 서초구,20,데이터분석가,29,여,37.0,41.0,9.0,5.0,8.0
221,2820125,1058000,카카오뱅크 체크,59.0,서울 송파구,20,간호사,26,여,24.0,12.0,13.0,12.0,39.0
222,1909884,1815000,토스카드,63.0,서울 강동구,30,데이터분석가,39,여,12.0,44.0,10.0,30.0,4.0
223,3293093,1884000,KB 혜담카드,43.0,서울 성동구,30,간호사,31,남,30.0,11.0,14.0,23.0,22.0
224,2243013,635000,네이버페이 현대,53.0,서울 관악구,20,연구원,27,남,25.0,17.0,8.0,25.0,25.0
225,2083256,1921000,삼성 taptap카드,81.0,서울 마포구,20,디자이너,28,남,45.0,14.0,19.0,3.0,19.0
226,3619679,1359000,토스카드,40.0,경기 성남시,30,서비스직,32,남,3.0,5.0,29.0,35.0,28.0
227,2939507,950000,롯데 DC카드,58.0,서울 노원구,30,기획,30,여,5.0,4.0,57.0,14.0,20.0
228,1776754,1359000,씨티 Premier카드,67.0,서울 마포구,20,컨설턴트,27,남,38.0,3.0,24.0,18.0,17.0
229,2158919,1695000,롯데 DC카드,54.0,인천 남동구,20,컨설턴트,20,여,21.0,53.0,18.0,0.0,8.0
